"display_rank","photo","name","city","country","rating","reviewCount","phone","website","url","language_name","country_name"
"1","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerg6h03mZQIElLQorhdwb_ytKfJQ0uVjqzKj0B8UIy35h6Lj-AZO1fQplAfbCgwVB4G9Opp4DBl-_pqBtjDxa1fwstrxaZhaVSplKlrzVXx5MDvtmzttzFRGq7TX4GtRj34cI8ivg=w843-h960-k-no","The Corner Room","State College","US","4.3","1542","","cornerroom.com","https://google.com/maps?cid=13292529699995310328","English","United States"
"2","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9iyN52sovLrQzfri7Zj6SrYZpUw5PeRIqSsgxhOxPhBw7F0reWdaVgjsQkvlevGapffRPsf23t-8rJed5i5fQ_X5OgQA1VPHHlDegt5ojPPNx0JqLqyt2GFy1Vm__vL_Fl5YL=w4032-h3024-k-no","The Tavern","State College","US","4.2","849","(814) 238-6116","thetavern.com","https://google.com/maps?cid=14848834030317553400","English","United States"
"3","https://lh3.googleusercontent.com/gps-cs-s/AHVAwereaoDEEyaZd7iWhRxPUUD8Jy_-YOAPMsLjgsotvFfvoYgcPTixugIeBSYlGFz_-iy5ruzmjAbUtPe37gvPfKok16TBH-otRXSpRBj_WfEvcd97e-kjdVQmlyju925Ja-KqMNaXOdj8-3GK=w4032-h3024-k-no","Kokoro","State College","US","4.7","446","(845) 341-3499","kokorostatecollege.com","https://google.com/maps?cid=4738488616946886443","English","United States"
"4","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXntqDO1XzpEei70ZYWd0A442ms4o1viz1ljV4eA8J-wM_4ifIU3zicegwpYJ3NnO9t25Z1kOY_PDISIKadWWYcaY_bSz53nf1IYWW7GbL_f78Y2S_l0Dc5QMnvPi02JL0caxl=w3840-h2160-k-no","Federal Taphouse","State College","US","4","1164","(814) 954-4888","federaltaphouse.com","https://google.com/maps?cid=7957334651693614192","English","United States"
"5","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoXDTwNGPE75YFGfZfKDzhEX_ErSB3K0qIAgORbd-xtQlWKpq9q0au_4wKzmwcVokKiQGwCBFCZ7FXT-oHb4L2rxa-rS9EEBrSQk11kl5XSscwIB1YvkGgxJ0pI3lfS-ir7F0BP=w4624-h3472-k-no","Fatoum Bistro","State College","US","4.7","121","(814) 321-8999","fatoumbistro.com","https://google.com/maps?cid=4160912694604225149","English","United States"
"6","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoEWXWH5QOsla-tWUKBSg-kgzx7ch7PKLOZJUt1Z12PVXFkUzmnKQbcmLGr9mYpfVoE1y0ymNuI-maHOyqB6fb4FGvqk2sy38r18noD1c2v3_bPlZHzykHEmOCOeV11Dfp6sd8=w1920-h1080-k-no","Local Whiskey","State College","US","4.4","990","(814) 272-6831","localwhiskeybar.com","https://google.com/maps?cid=991772817614442640","English","United States"
"7","https://lh3.googleusercontent.com/gps-cs-s/AHVAweov1SXHD9shUYSID1RR0UI4FFEypvDNUDqeO0UHNtP1FxuRKDETy5RXiboGPB2Nz-2tgwbWljUGZB1OnmX0bu9uL9WnxDpkYYBGsxF95kJw6NgA7C43RFvwrPryJAwLJfHGtDdgQw=w4765-h2681-k-no","Bistrozine","State College","US","4.6","259","(814) 826-2492","bistrozine.com","https://google.com/maps?cid=8487201677549787186","English","United States"
"8","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqK3eii0pH9KfC4qMf1E02LhcSz5KUl3jqTImO5DbZRK8FgL01QfLf-7zbyVNKQ9UWH70B_2mKl9adK3kYOAGIwYzmGd4Oiodr2h8QbarFYhFB_lkj4yIOTHprxItuK5Sq4hdZTPJdSFgII=w3000-h4000-k-no","Ramyun Studio","State College","US","4.8","142","(814) 996-4866","ramyunstudio.com","https://google.com/maps?cid=7180629527140913127","English","United States"
"9","https://lh3.googleusercontent.com/gps-cs-s/AHVAweorvw-Ea9XCzeL09m2W5TUww4duexMtu7cO-lceXzhsPVaIh2JPP03BtEN0nqEtCWGdPmj9aLqi-6L_4SbM5uvf6bRRLB8mI_s-DhoNhldvbexvWN7tfwdl15fsui3rdu0NYiaT=w3963-h2689-k-no","Sowers Harvest Café","State College","US","4.9","864","(814) 867-1007","sowersharvest.cafe","https://google.com/maps?cid=10815312807410260632","English","United States"
"10","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxlaD7O6zXgJ053m-z8Fu7CI62geX9kw2-R07WWxxPI0M12OyKkgG8NODKojLNH7NuWxLOl5lbNcb9zo4LNgUUlGTrlhEhOT4Mh3nn6v6wXr6XB2OnBVqlnZl6iqXxx9mdZ5ZA=w4032-h3024-k-no","American Ale House","State College","US","4.3","1498","(814) 237-9701","americanalehouse.net","https://google.com/maps?cid=8009534799411056422","English","United States"
"11","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkxWLWrykoU-z3-nUCOJDd2guLU2gu7vfRu0Zt4JXkyzKKSLJR2iKN5utZ87weQhxMyHNHVijEUDcZGWYHQWWnqia5lQbcXF_Sy09HPXkKXUL69_xg7zJJGgVbayrpEbx-8t2BQd2bcOoh=w3024-h4032-k-no","Carter's Table - Restaurant","State College","US","4.9","212","(814) 954-8925","carterstable.com","https://google.com/maps?cid=6038419109254341482","English","United States"
"12","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0p74eAzHa0M0tmLdr32LkQwMEdYQP0CMSOvDzzV34gUXK11LDMU9z9gp_oSw2WXlb1eJzbfsFAdukTMhXFzDwWEv9zeezlP1-2SqTNy5vXQMYLnLk0VC0mGxde_GMUXigp0NMsg=w4048-h3036-k-no","Allen Street Grill","State College","US","4.3","356","(814) 231-4745","allenstreetgrill.com","https://google.com/maps?cid=16577995349111734448","English","United States"
"13","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqheNbc6ynCYpSgw0PIpaXXyB37aTKv2uNT_rjswJYNwPxqLop1cnKdRBiNk8FzJ55TQRsPx22frb6iEIajECtwnLLoT8F5wlELbFDQ45w3V64pwhcNAxRGpdeUsaAxDtnTfSr1=w348-h348-k-no","Penn State Halal Guys","State College","US","4.8","204","(814) 954-8079","pennstatehalalguys.com","https://google.com/maps?cid=1905352691204565952","English","United States"
"14","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerstH5C1XLKE3p20od4to6cRuRc4mq9ebRcOOWKRE6_G1rCQVE5_0KXIjK2uLUEklpYU7KTRCe8LYTGUTptx5mX7GWP26LTvu2zQs8HmmnArnXHRd4pWLJCQyoPpr0XF1Iwv-A=w5760-h3840-k-no","Mercato Mio","State College","US","4.2","129","(814) 272-1221","mercatomiodining.com","https://google.com/maps?cid=5914426037950162809","English","United States"
"15","https://lh3.googleusercontent.com/gps-cs-s/AHVAwervfptHoI4Gw4ftlOsH3IFTj8Wyt5S1dYJGCWivxvQPgKZeHF_jDFWva1Ob-56-EpSwqOGndzCrFAaQ51yMmZ8x1VH7GgXsS79angM5YlNgWCEZnxJI_ZTMCe41Lcvj7Pn-5ZF_=w4128-h2322-k-no","Cafe Alina","State College","US","4.7","853","(814) 954-5816","orders.cake.net","https://google.com/maps?cid=5409625175512269623","English","United States"
"16","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqp2qD7E919Nas5x0g5JAkit9Q_XMR2aTUFOp51YTXfhDfkx6sesJ5Olhm1MI--gwPNi0VHu3NuhT67hCTmoxofjWZLw1STgqABuulz8OtHJTjxTwfNgF0ZbtBClElCJtoCl10E6KsZ4VrW=w3072-h4080-k-no","Fuego Grill","State College","US","5","47","(814) 895-5293","","https://google.com/maps?cid=11537931215168297330","English","United States"
"17","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqP_Ymhs-OCdKMnzVkuaEatEWzEhwY1QLWaKFSAfVSdOmsL6ujuFjK0SemDyJ8DrhT1_9hVjpIJIrwb2D1XU7knj_buDO5Bd--uyW0gbW9uLL19G3uRpXvw1cDi2FhrA2uwUxOewJhzqhCt=w5712-h4284-k-no","Penn Steaks","State College","US","4.8","678","(814) 954-7447","pennsteaks.com","https://google.com/maps?cid=4971644996814387740","English","United States"
"18","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo4H4GVmwLEOt0e_XjVxIFDxVq1glTUD5oK1xlJYqAj57TNrqWxlXudZ4McKsVlv2tZ8ViAdS6VsGRjRAXE8R9FLSPC8N31P7VdxDP50FC6XpTGV2HisH63LPvAQfdhJ2th4_rP=w4191-h2358-k-no","Gigi's Southern Table","State College","US","4.2","1189","(814) 861-3463","gigisdining.com","https://google.com/maps?cid=8708130981288656744","English","United States"
"19","https://lh3.googleusercontent.com/gps-cs-s/AHVAwers4x1RxZ5msliGV-8vkYLiQAeQfXeinL09MFWrpGski2la0uhI4bcKz0ziN7ZRgPROyWq5BAPzLYaBjGvw2RmwpygY2UHYWix0YYHXnVqCz9HMj9pXD3teJ98z77j5TENfIarc=w2880-h2160-k-no","Plaza Mexican Bar & Grill","State College","US","4.5","2077","(814) 954-7451","plazaazteca.com","https://google.com/maps?cid=16522211378126088832","English","United States"
"20","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOxQs-piPVvz9y_I0rZ_Bh6i8U6n6_CsZGQfkMaOMX_YTsbwKtcoBOMivr6lRKSJomHyt9kPxMyVFmwdc1HFb346tdaUQIdHmzumgwCpo30yfFKRqbSkMRSJ5ZzpBvuPMrN47o=w1600-h1200-k-no","Kitchen Garden","State College","US","4.7","185","(814) 996-9599","thekitchengarden.net","https://google.com/maps?cid=14898711765597184379","English","United States"
